run=seed_31415_null_e4_null arm=E4_NULL device=cuda:0 dtype=float64 parameters=361 max_steps=2000
step=1560 train_mse=0.185525778985 penalty_total=0.000236524533133 validation_clean_nrmse=1.00932740428 selected=False
step=1580 train_mse=0.189476237445 penalty_total=0.000212727744736 validation_clean_nrmse=1.00607144783 selected=False
step=1600 train_mse=0.183023769213 penalty_total=0.000172860292352 validation_clean_nrmse=1.00708595579 selected=False
step=1620 train_mse=0.185731175244 penalty_total=0.000151576858993 validation_clean_nrmse=1.00931798557 selected=False
step=1640 train_mse=0.177186271928 penalty_total=0.000149502978406 validation_clean_nrmse=1.00687441631 selected=False
step=1660 train_mse=0.186131800283 penalty_total=0.000123212871059 validation_clean_nrmse=1.00689649621 selected=False
step=1680 train_mse=0.179333093581 penalty_total=0.000128166381745 validation_clean_nrmse=1.00635781961 selected=False
step=1700 train_mse=0.182792045599 penalty_total=0.000122252167567 validation_clean_nrmse=1.00741931912 selected=False
step=1720 train_mse=0.187582498416 penalty_total=0.000127559283352 validation_clean_nrmse=1.00685700872 selected=False
step=1740 train_mse=0.183130257466 penalty_total=0.000115854012572 validation_clean_nrmse=1.00517206506 selected=False
step=1760 train_mse=0.177159758908 penalty_total=9.32142176953e-05 validation_clean_nrmse=1.00653566483 selected=False
step=1780 train_mse=0.186103228089 penalty_total=0.000112304748343 validation_clean_nrmse=1.00696270834 selected=False
step=1800 train_mse=0.172765568624 penalty_total=0.000123150136206 validation_clean_nrmse=1.01082095531 selected=False
step=1820 train_mse=0.188397626537 penalty_total=9.96222628999e-05 validation_clean_nrmse=1.00498249949 selected=False
step=1840 train_mse=0.179066834123 penalty_total=0.000108114708331 validation_clean_nrmse=1.0095443665 selected=False
step=1860 train_mse=0.184807812585 penalty_total=0.000119723034671 validation_clean_nrmse=1.00694750383 selected=False
step=1880 train_mse=0.183137150699 penalty_total=7.95167998902e-05 validation_clean_nrmse=1.01266706779 selected=False
step=1900 train_mse=0.180903010272 penalty_total=0.000103847425637 validation_clean_nrmse=1.00426864629 selected=False
step=1920 train_mse=0.185117516168 penalty_total=8.16564597406e-05 validation_clean_nrmse=1.01315705402 selected=False
step=1940 train_mse=0.184844434016 penalty_total=8.06754245811e-05 validation_clean_nrmse=1.00941850869 selected=False
step=1960 train_mse=0.182231868068 penalty_total=0.000120447144506 validation_clean_nrmse=1.00508890376 selected=False
step=1980 train_mse=0.181714603902 penalty_total=0.000110390841094 validation_clean_nrmse=1.01220883168 selected=False
step=2000 train_mse=0.18691438845 penalty_total=8.28776751026e-05 validation_clean_nrmse=1.00506542596 selected=False
selected_step=20 selected_validation_clean_nrmse=1.00341252111 manifest=/zju_0012/htq/aaai26_alpha/aaai27_evosci/artifacts/s1_gate_a_scientific/s1_gate_a_v1_scientific_formal_v1/manifests/E4_NULL/seed_31415_null_e4_null/manifest.json
